search_version,profile_id,task_id,mean_start_now_points_per_card,start_now_rounds_1_20_mean,start_now_rounds_21_60_mean,start_now_rounds_61_80_mean,start_now_round_min,start_now_round_max,start_now_round_coverage,mean_ordinary_appearances,mean_planning_policy_selections,selection_rate_when_available,mean_planning_policy_contribution,inclusion_probability_without_is,inclusion_probability_during_is
parameter-search-v2,profile_0068,trio_b,9.574760102620772,10.0,10.0,8.299040410483089,0.0,10.0,1.0,46.60166666666667,1.315,0.028217874897178214,5.2,0.617998667998668,0.46128038628038626
parameter-search-v2,profile_0068,fives,7.965053596347026,9.0,8.998248921190099,4.863716543007907,0.0,9.0,1.0,34.916666666666664,0.0,0.0,0.0,0.4655310375898611,0.33018599048010816
parameter-search-v2,profile_0068,cumulative_a,10.0,10.0,10.0,10.0,10.0,10.0,1.0,35.151666666666664,0.43166666666666664,0.01228011948224361,4.316666666666666,0.4655310375898611,0.33018599048010816
parameter-search-v2,profile_0068,cumulative_b,9.381079914015123,9.749937051212129,9.676216494267129,8.421949616314107,5.0,9.75,1.0,35.068333333333335,0.0,0.0,0.0,0.4655310375898611,0.33018599048010816
parameter-search-v2,profile_0068,infinite_scroll,8.497861569544806,8.89362346417322,8.494014817047447,8.109793179911112,5.0,11.725806451612904,1.0,16.786666666666665,0.0,0.0,0.0,1.0,1.0
parameter-search-v2,profile_0068,simple_a,9.466423643793462,9.45399152513243,9.478274565858449,9.455153918324521,9.078341013824884,9.82843137254902,1.0,55.611666666666665,9.558333333333334,0.17187640483112057,142.675,0.7236195177371647,0.5673705379587733
parameter-search-v2,profile_0068,simple_b,8.53048616139801,8.507111825014395,8.5572453803786,8.500342059820444,8.161434977578475,8.939051918735892,1.0,61.278333333333336,7.026666666666666,0.11466804471400985,105.18333333333334,0.7962576639047226,0.650605113840408
parameter-search-v2,profile_0069,trio_a,9.412818060052455,10.0,10.0,7.651272240209825,0.0,10.0,1.0,33.638333333333335,2.2683333333333335,0.06743298815835108,12.4,0.46553103758986114,0.33018599048010816
parameter-search-v2,profile_0069,trio_b,9.623969908489105,10.0,10.0,8.495879633956417,0.0,10.0,1.0,53.95166666666667,2.138333333333333,0.03963424052392574,11.35,0.7236195177371648,0.5673705379587733
parameter-search-v2,profile_0069,fives,7.0478015932681,8.0,7.989918203508765,4.21136996605487,0.0,8.0,1.0,33.72666666666667,0.0,0.0,0.0,0.46553103758986114,0.33018599048010816
parameter-search-v2,profile_0069,cumulative_a,10.0,10.0,10.0,10.0,10.0,10.0,1.0,33.531666666666666,0.4583333333333333,0.01366867140513942,4.583333333333333,0.46553103758986114,0.33018599048010816
parameter-search-v2,profile_0069,cumulative_b,9.361423974059598,9.749804966979292,9.662126327439223,8.371638274380652,5.0,9.75,1.0,33.486666666666665,0.0,0.0,0.0,0.46553103758986114,0.33018599048010816
parameter-search-v2,profile_0069,infinite_scroll,8.14494455232509,8.395618772226081,8.154141027343027,7.875877382388222,5.0,10.801470588235293,1.0,26.52166666666667,0.0,0.0,0.0,1.0,1.0
parameter-search-v2,profile_0069,simple_a,9.525130056905939,9.567922416897204,9.479659881158168,9.57327804841021,9.162995594713657,9.910913140311804,1.0,59.71333333333333,10.243333333333334,0.1715418108741766,152.98333333333332,0.7962576639047227,0.650605113840408
parameter-search-v2,profile_0069,simple_b,8.477433709367393,8.411803101866118,8.506813960899503,8.484303813804445,7.906976744186046,9.054054054054054,1.0,45.43,4.891666666666667,0.10767481106464158,73.08333333333333,0.6179986679986681,0.46128038628038626
parameter-search-v2,profile_0070,trio_a,9.560710247224794,10.0,10.0,8.242840988899179,0.0,10.0,1.0,45.69166666666667,3.3766666666666665,0.0739011490060186,23.6,0.6058556639438992,0.4538703943115707
parameter-search-v2,profile_0070,trio_b,9.412943285642742,10.0,10.0,7.651773142570965,0.0,10.0,1.0,33.931666666666665,1.195,0.035217839776020436,3.6,0.4544359235535706,0.3246049701932055
parameter-search-v2,profile_0070,fives,7.031599681614009,8.0,7.99308005875397,4.140238608948094,0.0,8.0,1.0,33.86333333333334,0.0,0.0,0.0,0.4544359235535706,0.3246049701932055
parameter-search-v2,profile_0070,cumulative_a,9.463987439470852,9.75,9.720727946895874,8.66449386409166,5.0,9.75,1.0,45.62833333333333,0.0,0.0,0.0,0.6058556639438992,0.4538703943115707
parameter-search-v2,profile_0070,cumulative_b,8.238001478258195,9.249455923240209,8.992157460239318,5.718235069313931,0.0,9.25,1.0,33.91833333333334,0.0,0.0,0.0,0.45443592355357065,0.3246049701932055
parameter-search-v2,profile_0070,infinite_scroll,8.862952008078093,9.279065320136397,8.871282344389204,8.430178023397565,5.0,12.125,1.0,18.12,0.0,0.0,0.0,1.0,1.0
parameter-search-v2,profile_0070,simple_a,9.508384609841466,9.529752351964387,9.5119547715459,9.479876544309672,9.076354679802956,9.825436408977556,1.0,54.428333333333335,9.396666666666667,0.17264292494717826,138.24166666666667,0.7124904507257449,0.559222150398621
parameter-search-v2,profile_0070,simple_b,8.506575033771302,8.521370366928725,8.489339750349922,8.526250267456643,8.142523364485982,8.939024390243903,1.0,54.41833333333334,6.031666666666666,0.1108388717037763,89.49166666666666,0.7124904507257449,0.559222150398621
parameter-search-v2,profile_0071,trio_a,9.430213969222464,10.0,10.0,7.720855876889859,0.0,10.0,1.0,35.62,1.85,0.051937113980909604,9.9,0.47307535945306844,0.3329015841399743
parameter-search-v2,profile_0071,trio_b,9.577092368024845,10.0,10.0,8.308369472099377,0.0,10.0,1.0,47.04,1.4216666666666666,0.03022250566893424,5.15,0.6271469758311864,0.4650386507197653
parameter-search-v2,profile_0071,fives,6.390420736042823,8.0,7.703377411836078,2.1549281204991346,0.0,8.0,1.0,19.751666666666665,0.0,0.0,0.0,0.2631126226714462,0.1770210998152175
parameter-search-v2,profile_0071,cumulative_a,9.386148327651537,9.749955678096157,9.680080271721058,8.434477089067872,5.0,9.75,1.0,35.805,0.0,0.0,0.0,0.47307535945306844,0.3329015841399743
parameter-search-v2,profile_0071,cumulative_b,9.476001864624578,9.75,9.724652895199103,8.704701668100112,5.0,9.75,1.0,47.375,0.0,0.0,0.0,0.6271469758311864,0.4650386507197653
